mass
235.0
190.0
225.0
225.0
175.0
182.0
200.0
300.0
205.0
310.0
308.0
260.0
190.0
225.0
310.0
235.0
205.0
160.0
150.0
132.0
145.0
150.0
170.0
140.0
165.0
162.0
160.0
175.0
145.0
165.0
175.0
175.0
150.0
160.0
135.0
165.0
160.0
160.0
165.0
160.0
128.0
165.0
